"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"3199","綿半ホールディングス","東証","20231020","20231024","日証金","1299.00","0","2.60","-","0","-","-","満額",""
"3201","日本毛織","東証","20231020","20231024","日証金","1388.00","1800","2.80","0.05","0.00360231","1","0.00","",""
"3222","Ｕ．Ｓ．Ｍ．Ｈ","東証","20231020","20231024","日証金","1043.00","0","2.20","-","0","-","-","満額",""
"3226","日本アコモデーション","東証","20231020","20231024","日証金","611000.00","30","1240.00","0.00","0","1","0.00","",""
"3228","三栄建築設計","東証","20231020","20231024","日証金","2021.00","0","4.20","-","0","-","-","満額",""
"3231","野村不動産ＨＤ","東証","20231020","20231024","日証金","3687.00","0","7.40","-","0","-","-","満額",""
"3241","ウィル","東証","20231020","20231024","日証金","492.00","0","1.00","-","0","-","-","満額",""
"3269","アドバンスレジデンス","東証","20231020","20231024","日証金","331000.00","50","680.00","0.00","0","1","0.00","",""
"3290","Ｒ－Ｏｎｅリート","東証","20231020","20231024","日証金","253600.00","69","520.00","0.00","0","1","0.00","",""
"3292","イオンリート投資法人","東証","20231020","20231024","日証金","145300.00","0","300.00","-","0","-","-","満額",""
"3295","ヒューリックリート","東証","20231020","20231024","日証金","154700.00","188","320.00","5.00","0.00323206","1","5.00","",""
"3302","帝国繊維","東証","20231020","20231024","日証金","1834.00","0","3.80","-","0","-","-","満額",""
"3329","東和フードサービス","東証","20231020","20231024","日証金","1870.00","43600","7.60","0.05","0.0026738","1","0.05","",""
"3341","日本調剤","東証","20231020","20231024","日証金","1380.00","0","2.80","-","0","-","-","満額",""
"3360","シップヘルスケアＨＤ","東証","20231020","20231024","日証金","2150.00","0","4.40","-","0","-","-","満額",""
"3391","ツルハＨＤ","東証","20231020","20231024","日証金","10530.00","0","21.20","-","0","-","-","満額",""
"3395","サンマルクＨＤ","東証","20231020","20231024","日証金","1859.00","0","3.80","-","0","-","-","満額",""
"3405","クラレ","東証","20231020","20231024","日証金","1701.50","12400","3.60","0.05","0.00293858","1","0.00","",""
"3436","ＳＵＭＣＯ","東証","20231020","20231024","日証金","1953.50","0","4.00","-","0","-","-","満額",""
"3443","川田テクノロジーズ","東証","20231020","20231024","日証金","6340.00","0","12.80","-","0","-","-","満額",""
"3446","ＪＴＥＣＣＯＲＰ","東証","20231020","20231024","日証金","2240.00","0","9.20","-","0","-","-","満額","注意"
"3462","野村不動産マスターＦ","東証","20231020","20231024","日証金","167900.00","698","340.00","5.00","0.00297796","1","5.00","",""
"3465","ケイアイスター不動産","東証","20231020","20231024","日証金","4345.00","0","8.80","-","0","-","-","満額",""
"3471","三井不ロジパーク","東証","20231020","20231024","日証金","467500.00","0","940.00","-","0","-","-","満額",""
"3475","グッドコムアセット","東証","20231020","20231024","日証金","994.00","68400","8.00","0.05","0.00503018","1","0.05","","注意"
"3476","投資法人みらい","東証","20231020","20231024","日証金","47300.00","11","200.00","0.00","0","1","0.00","",""
"3479","ティーケーピー","東証","20231020","20231024","日証金","1962.00","0","4.00","-","0","-","-","満額",""
"3484","テンポイノベーション","東証","20231020","20231024","日証金","1113.00","0","2.40","-","0","-","0.00","満額",""
"3542","ベガコーポレーション","東証","20231020","20231024","日証金","503.00","0","1.20","-","0","-","-","満額",""
"3544","サツドラＨＤ","東証","20231020","20231024","日証金","758.00","0","1.60","-","0","-","-","満額",""
"3547","串カツ田中","東証","20231020","20231024","日証金","1662.00","4100","6.80","0.05","0.00300842","1","0.05","","注意"
"3549","クスリのアオキＨＤ","東証","20231020","20231024","日証金","9265.00","17500","18.60","0.20","0.00215866","1","0.20","",""
"3591","ワコールＨＤ","東証","20231020","20231024","日証金","3442.00","0","7.00","-","0","-","-","満額",""
"3593","ホギメディカル","東証","20231020","20231024","日証金","3230.00","0","6.60","-","0","-","-","満額",""
"3608","ＴＳＩＨＤ","東証","20231020","20231024","日証金","767.00","0","1.60","-","0","-","0.00","満額",""
