"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"4678","秀英予備校","東証","20240214","日証金","確報","100","700","2200","100","700","2200","0","0"
"4679","田谷","東証","20240214","日証金","確報","0","0","600","0","0","0","600","0"
"4680","ラウンドワン","東証","20240214","日証金","確報","32400","30300","204000","2100","0","204000","0","0"
"4681","リゾートトラスト","名証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"4681","リゾートトラスト","東証","20240214","日証金","確報","1100","900","23000","5000","0","40600","-17600","-4800"
"4684","オービック","東証","20240214","日証金","確報","0","300","8900","0","0","0","8900","-300"
"4685","菱友システムズ","東証","20240214","日証金","確報","100","0","1100","0","0","0","1100","100"
"4686","ジャストシステム","東証","20240214","日証金","確報","700","200","8000","0","0","1100","6900","500"
"4687","ＴＤＣソフト","東証","20240214","日証金","確報","1000","0","4600","100","500","3100","1500","1400"
"4689","ＬＩＮＥヤフー","東証","20240214","日証金","確報","1400","22000","310100","0","0","41000","269100","-20600"
"4690","日本パレットプール","東証","20240214","日証金","確報","100","0","2000","0","0","0","2000","100"
"4691","ワシントンホテル","名証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"4691","ワシントンホテル","東証","20240214","日証金","確報","1000","1600","10300","0","0","0","10300","-600"
"4694","ビー・エム・エル","東証","20240214","日証金","確報","5300","500","6400","100","1000","100","6300","5700"
"4704","トレンドマイクロ","東証","20240214","日証金","確報","400","0","4600","3400","11300","99000","-94400","8300"
"4705","クリップコーポ","東証","20240214","日証金","確報","0","0","2700","0","0","0","2700","0"
"4707","キタック","東証","20240214","日証金","確報","400","0","14500","0","0","0","14500","400"
"4709","ＩＤホールディングス","東証","20240214","日証金","確報","0","0","7000","0","0","1000","6000","0"
"4712","ＫｅｙＨｏｌｄｅｒ","東証","20240214","日証金","確報","62200","200","73400","73400","0","73400","0","-11400"
"4714","リソー教育","東証","20240214","日証金","確報","67300","109900","329700","0","42600","329700","0","0"
"4716","日本オラクル","東証","20240214","日証金","確報","100","0","1200","200","0","500","700","-100"
"4718","早稲田アカデミー","東証","20240214","日証金","確報","0","200","1900","200","0","1600","300","-400"
"4719","アルファシステムズ","東証","20240214","日証金","確報","0","400","1100","0","0","0","1100","-400"
"4720","城南進学研究社","東証","20240214","日証金","確報","0","0","1600","0","0","0","1600","0"
"4722","フューチャー","東証","20240214","日証金","確報","1600","1600","37800","200","200","37800","0","0"
"4725","ＣＡＣＨＤ","東証","20240214","日証金","確報","0","200","4000","0","100","0","4000","-100"
"4726","ＳＢテクノロジー","東証","20240214","日証金","確報","0","1900","22900","0","0","0","22900","-1900"
"4728","トーセ","東証","20240214","日証金","確報","0","0","2500","0","0","0","2500","0"
"4732","ユー・エス・エス","名証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"4732","ユー・エス・エス","東証","20240214","日証金","確報","2400","0","9900","0","900","1500","8400","3300"
"4733","オービックＢＣ","東証","20240214","日証金","確報","0","100","1300","0","0","0","1300","-100"
"4735","京進","東証","20240214","日証金","確報","0","0","200","0","0","0","200","0"
"4736","日本ラッド","東証","20240214","日証金","確報","0","1000","16700","0","0","0","16700","-1000"
"4743","アイティフォー","東証","20240214","日証金","確報","1200","900","5600","1600","100","1800","3800","-1200"
"4745","東京個別指導学院","東証","20240214","日証金","確報","1100","500","16600","600","0","16600","0","0"
"4746","東計電算","東証","20240214","日証金","確報","200","0","2900","0","0","200","2700","200"
"4748","構造計画研究所","東証","20240214","日証金","確報","0","0","600","0","0","0","600","0"
"4750","ダイサン","東証","20240214","日証金","確報","300","100","2600","0","100","1500","1100","300"
"4751","サイバーエージェント","東証","20240214","日証金","確報","4100","1300","144600","100","10800","62600","82000","13500"
"4752","昭和システム","東証","20240214","日証金","確報","0","0","3900","0","0","0","3900","0"
"4754","トスネット","東証","20240214","日証金","確報","0","0","1000","0","0","0","1000","0"
"4755","楽天グループ","東証","20240214","日証金","確報","464600","42800","2807300","11000","50000","513500","2293800","460800"
"4760","アルファ","東証","20240214","日証金","確報","0","0","1200","0","0","0","1200","0"
"4761","さくらケーシーエス","東証","20240214","日証金","確報","0","0","1300","0","0","0","1300","0"
"4762","エックスネット","東証","20240214","日証金","確報","0","0","11200","0","0","0","11200","0"
"4763","クリーク＆リバー社","東証","20240214","日証金","確報","100","0","3500","0","0","700","2800","100"
"4765","ＳＢＩＧアセットＭ","東証","20240214","日証金","確報","4300","0","112600","0","100","13300","99300","4400"
"4766","ピーエイ","東証","20240214","日証金","確報","400","0","2800","0","0","0","2800","400"
"4767","テーオーダブリュー","東証","20240214","日証金","確報","1500","700","210000","0","0","0","210000","800"
"4768","大塚商会","東証","20240214","日証金","確報","300","0","5400","0","0","200","5200","300"
"4769","ＩＣ","東証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"4770","図研エルミック","東証","20240214","日証金","確報","0","0","72300","0","0","0","72300","0"
"4771","エフアンドエム","東証","20240214","日証金","確報","0","0","2800","0","0","1500","1300","0"
"4772","ストリームメディ","東証","20240214","日証金","確報","0","0","74100","0","0","0","74100","0"
"4776","サイボウズ","東証","20240214","日証金","確報","1700","14300","71300","0","9500","1500","69800","-3100"
"4777","ガーラ","東証","20240214","日証金","確報","300","300","10200","0","0","0","10200","0"
"4781","日本ハウズイング","東証","20240214","日証金","確報","0","0","500","0","0","0","500","0"
"4783","ＮＣＤ","東証","20240214","日証金","確報","1500","4700","23400","1100","900","8000","15400","-3400"
"4784","ＧＭＯアドパートナー","東証","20240214","日証金","確報","1100","300","9200","0","0","0","9200","800"
"4792","山田コンサルティング","東証","20240214","日証金","確報","0","100","8600","0","800","600","8000","700"
"4800","オリコン","東証","20240214","日証金","確報","300","3000","9300","0","0","15600","-6300","-2700"
"4801","セントラルスポーツ","東証","20240214","日証金","確報","100","0","3800","0","0","0","3800","100"
"4809","パラカ","東証","20240214","日証金","確報","0","0","1500","0","0","0","1500","0"
"4811","ドリーム・アーツ","東証","20240214","日証金","確報","100","1400","8300","0","0","0","8300","-1300"
"4812","電通総研","東証","20240214","日証金","確報","400","0","3100","0","100","1100","2000","500"
"4813","ＡＣＣＥＳＳ","東証","20240214","日証金","確報","300","2100","31000","500","0","11200","19800","-2300"
"4814","ネクストウェア","東証","20240214","日証金","確報","300","0","127500","0","0","0","127500","300"
"4816","東映アニメーション","東証","20240214","日証金","確報","400","600","6400","30400","2100","80000","-73600","-28500"
"4819","デジタルガレージ","東証","20240214","日証金","確報","200","4500","49800","0","0","1500","48300","-4300"
"4820","イーエムシステムズ","東証","20240214","日証金","確報","0","1000","3000","200","0","2800","200","-1200"
"4824","メディアシーク","東証","20240214","日証金","確報","0","0","13800","0","0","0","13800","0"
"4825","ウェザーニューズ","東証","20240214","日証金","確報","900","0","6000","300","0","2400","3600","600"
"4826","シー・アイ・ジェイ","東証","20240214","日証金","確報","1300","1100","51000","200","0","79400","-28400","0"
"4827","ビジネス・ワンＨＤ","福証","20240214","日証金","確報","0","0","100","0","0","0","100","0"
"4828","ビーエンジ","東証","20240214","日証金","確報","100","0","1900","100","0","1900","0","0"
