"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"6632","20240222","2","5049200","-194800","549500","-17500","9.19","2451000","-180100","391700","-14200","2598200","-14700","157800","-3300"
"6633","20240222","2","219000","5400","6000","100","36.5","167600","100","6000","100","51400","5300","-","-"
"6634","20240222","2","609800","3800","-","-","-","291300","6400","-","-","318500","-2600","-","-"
"6635","20240222","2","194300","-13600","3800","-5000","51.13","128300","-33600","3800","-5000","66000","20000","-","-"
"6637","20240222","1","295900","13600","-","-100","-","238700","13100","-","-","57200","500","-","-100"
"6638","20240222","2","253500","65400","9000","-5700","28.17","188100","43400","7800","-5700","65400","22000","1200","-"
"6640","20240222","2","145700","-45500","19800","5600","7.36","50800","-33900","15900","5600","94900","-11600","3900","-"
"6643","20240222","2","95100","1800","800","200","118.88","64600","1600","800","200","30500","200","-","-"
"6644","20240222","2","294000","26100","21100","-1200","13.93","212200","20300","11000","-1200","81800","5800","10100","-"
"6645","20240222","2","631200","-204000","133600","-5300","4.72","446000","-165500","105300","-4800","185200","-38500","28300","-500"
"6647","20240222","1","6200","-","-","-","-","1200","-100","-","-","5000","100","-","-"
"6648","20240222","1","48900","-1800","-","-","-","42800","-1500","-","-","6100","-300","-","-"
"6651","20240222","2","125200","-3900","52400","400","2.39","65500","-8900","18600","300","59700","5000","33800","100"
"6652","20240222","2","64600","21400","29200","11300","2.21","44700","17100","4200","-","19900","4300","25000","11300"
"6653","20240222","2","175900","-8800","1000","-100","175.9","137200","-7600","1000","-100","38700","-1200","-","-"
"6654","20240222","2","36400","4800","10100","-8900","3.6","25800","3800","10100","-8900","10600","1000","-","-"
"6656","20240222","2","240400","3600","43700","-3100","5.5","109600","-600","43700","-3100","130800","4200","-","-"
"6658","20240222","1","1048700","36600","-","-","-","632300","40000","-","-","416400","-3400","-","-"
"6659","20240222","2","3632800","807700","5000","5000","726.56","2343000","934500","-","-","1289800","-126800","5000","5000"
"6662","20240222","1","1476900","11200","-","-","-","658100","47200","-","-","818800","-36000","-","-"
"6663","20240222","1","219300","5800","-","-","-","145900","-200","-","-","73400","6000","-","-"
"6664","20240222","2","267200","-3000","1600","100","167","114900","-800","1600","100","152300","-2200","-","-"
"6666","20240222","1","666100","-22200","-","-","-","238400","-1200","-","-","427700","-21000","-","-"
"6668","20240222","1","512100","9800","-","-","-","248100","5700","-","-","264000","4100","-","-"
"6670","20240222","2","705800","24100","70800","20400","9.97","419800","20900","11200","3400","286000","3200","59600","17000"
"6674","20240222","2","778700","31400","142600","16800","5.46","498300","43300","136300","16600","280400","-11900","6300","200"
"6675","20240222","2","238200","-1900","6300","-1800","37.81","113000","-1600","6300","-1800","125200","-300","-","-"
"6676","20240222","2","85900","400","500","-","171.8","7400","-100","-","-","78500","500","500","-"
"6677","20240222","1","558700","29800","2300","100","242.91","189000","17600","-","-","369700","12200","2300","100"
"6678","20240222","1","25900","2500","-","-","-","17500","200","-","-","8400","2300","-","-"
"6694","20240222","1","44600","1000","-","-","-","15100","-1700","-","-","29500","2700","-","-"
"6696","20240222","1","545000","-20700","-","-","-","376600","-19100","-","-","168400","-1600","-","-"
"6697","20240222","1","139600","-23200","-","-","-","58000","-4000","-","-","81600","-19200","-","-"
"6698","20240222","2","180200","-2300","1300","300","138.62","45700","-1600","1300","300","134500","-700","-","-"
"6699","20240222","1","313900","-4500","1200","-","261.58","184700","-4200","-","-","129200","-300","1200","-"
"6701","20240222","2","550400","69100","169000","-12500","3.26","307300","55300","116100","-12300","243100","13800","52900","-200"
"6702","20240222","2","125600","41200","176400","-29700","0.71","85900","30000","147000","-28400","39700","11200","29400","-1300"
"6703","20240222","2","959000","-4800","108300","-1400","8.86","628900","41800","49500","-500","330100","-46600","58800","-900"
"6704","20240222","2","469200","-37500","3100","1900","151.35","191100","-36900","3100","1900","278100","-600","-","-"
"6706","20240222","2","87700","1000","12800","-1300","6.85","36600","200","3000","-1300","51100","800","9800","-"
"6707","20240222","2","271200","-6400","52400","-5200","5.18","212600","-4800","35400","-5600","58600","-1600","17000","400"
"6715","20240222","2","5200","800","2200","900","2.36","3600","800","2200","900","1600","-","-","-"
"6718","20240222","2","55400","-6800","11600","-200","4.78","27700","-8500","10800","-200","27700","1700","800","-"
"6721","20240222","1","2229500","-21500","-","-","-","882800","-29700","-","-","1346700","8200","-","-"
"6723","20240222","2","12602500","-500400","902100","126300","13.97","9082900","-491400","809300","120600","3519600","-9000","92800","5700"
"6724","20240222","2","65800","-79600","174300","-19000","0.38","49400","-74300","70400","-16800","16400","-5300","103900","-2200"
"6727","20240222","2","816700","165500","105300","800","7.76","521600","145200","32200","-5100","295100","20300","73100","5900"
"6728","20240222","2","102000","4500","87700","7200","1.16","60100","2300","55100","5100","41900","2200","32600","2100"
"6730","20240222","2","276300","3200","49000","2900","5.64","190900","-1100","48800","2900","85400","4300","200","-"
"6731","20240222","1","1518400","329200","-","-","-","1104700","213900","-","-","413700","115300","-","-"
"6734","20240222","1","39800","4100","-","-","-","22800","3900","-","-","17000","200","-","-"
"6736","20240222","2","117300","12700","34600","5000","3.39","9800","3300","34600","5000","107500","9400","-","-"
"6737","20240222","2","11700","-1400","21400","-400","0.55","9400","-1400","4700","-300","2300","-","16700","-100"
"6740","20240222","2","22528300","-2628000","6739000","-1060800","3.34","11434400","-576200","6738500","-1060800","11093900","-2051800","500","-"
"6741","20240222","2","161100","-11900","22100","18800","7.29","124900","7900","21600","18300","36200","-19800","500","500"
"6742","20240222","2","380500","-1300","3000","-1500","126.83","320500","1100","3000","-1500","60000","-2400","-","-"
