"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"9012","20230630","1","1500","100","-","-","-","1300","-","-","-","200","100","-","-"
"9017","20230630","1","1400","100","-","-","-","1000","-","-","-","400","100","-","-"
"9020","20230630","2","977600","-63300","150100","-3400","6.51","543000","-34400","89300","100","434600","-28900","60800","-3500"
"9021","20230630","2","1895600","55200","68700","-14000","27.59","703700","85600","44300","-14500","1191900","-30400","24400","500"
"9022","20230630","2","632000","58400","104700","-4900","6.04","239100","54000","94600","-4700","392900","4400","10100","-200"
"9024","20230630","2","1505900","122100","127300","28000","11.83","837300","112900","50000","3800","668600","9200","77300","24200"
"9025","20230630","2","17200","-1200","2100","900","8.19","8000","-1300","2000","900","9200","100","100","-"
"9028","20230630","1","72400","-1700","-","-","-","7700","-1500","-","-","64700","-200","-","-"
"9029","20230630","1","69700","-2000","-","-","-","41800","-700","-","-","27900","-1300","-","-"
"9031","20230630","2","106100","-7900","8300","-800","12.78","74900","-2800","4000","-800","31200","-5100","4300","-"
"9033","20230630","2","14300","3400","500","300","28.6","13200","4000","500","300","1100","-600","-","-"
"9034","20230630","1","19600","2200","-","-","-","5200","-600","-","-","14400","2800","-","-"
"9036","20230630","1","49200","1300","-","-","-","18200","2000","-","-","31000","-700","-","-"
"9037","20230630","2","38200","1300","3000","-300","12.73","9900","1200","3000","-300","28300","100","-","-"
"9039","20230630","2","2100","-2400","2500","-500","0.84","900","-1600","2300","-500","1200","-800","200","-"
"9041","20230630","2","140100","21700","126800","-14400","1.1","97600","19500","62100","-14300","42500","2200","64700","-100"
"9042","20230630","2","80700","7400","61000","900","1.32","67400","5200","32700","1500","13300","2200","28300","-600"
"9044","20230630","2","43900","8500","45100","-9600","0.97","36400","7300","44700","-9400","7500","1200","400","-200"
"9045","20230630","2","187400","-15600","13000","2700","14.42","134800","-13800","7700","800","52600","-1800","5300","1900"
"9046","20230630","2","12800","-2100","202400","50500","0.06","8000","-1800","3000","500","4800","-300","199400","50000"
"9048","20230630","2","126900","5800","69000","-400","1.84","52800","4600","51300","600","74100","1200","17700","-1000"
"9049","20230630","1","10200","1300","-","-","-","100","100","-","-","10100","1200","-","-"
"9051","20230630","1","11900","-800","-","-","-","11400","-800","-","-","500","-","-","-"
"9052","20230630","2","13300","7100","3300","-7300","4.03","3400","1300","1200","-5300","9900","5800","2100","-2000"
"9055","20230630","2","427800","-2500","11500","3500","37.2","423000","-3400","11400","3700","4800","900","100","-200"
"9057","20230630","1","41900","-4000","-","-","-","10400","-3200","-","-","31500","-800","-","-"
"9058","20230630","2","22000","-2200","9100","-100","2.42","20100","-1800","300","-","1900","-400","8800","-100"
"9059","20230630","2","21600","10500","6200","3600","3.48","16800","8100","6200","3600","4800","2400","-","-"
"9060","20230630","1","2100","100","-","-","-","500","100","-","-","1600","-","-","-"
"9063","20230630","1","27700","-200","-","-","-","5600","100","-","-","22100","-300","-","-"
"9064","20230630","2","162600","-88300","142400","-5800","1.14","109800","-87000","94400","-5700","52800","-1300","48000","-100"
"9065","20230630","2","32600","6100","6200","-7900","5.26","24600","3500","1100","-6300","8000","2600","5100","-1600"
