"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"4173","WACUL","東証GR","情報通信","4169","7138840","0","0","20.92","3.73","27.91","156.75","58400","100","20230824","1066","20240205","491"
"4174","アピリッツ","東証ST","情報通信","5926","4226700","0.86","12","17.56","2.47","79.84","568.63","140200","100","20240301","1419","20230323","928"
"4175","coly","東証GR","情報通信","5151","5502900","0","0","-","0.9","-","1035.11","93600","100","20230201","1233","20231225","866"
"4176","ココナラ","東証GR","情報通信","12749","23919500","0","0","13325","6.25","0.04","85.28","53300","100","20240228","585","20230817","282"
"4177","i-plug","東証GR","情報通信","5521","3949205","0","0","613.16","7.35","2.28","190.17","139800","100","20230714","1930","20230323","1040"
"4178","Sharing_Innovations","東証GR","情報通信","2951","3793300","0","0","20.8","2.01","37.4","386.61","77800","100","20230126","1127","20231225","702"
"4179","ジーネクスト","東証GR","情報通信","1411","4212616","0","0","-","31.37","-","10.68","33500","100","20230613","426","20231031","287"
"4180","Appier_Group","東証PR","情報通信","187116","101915029","-","-","98.5","6.43","18.64","285.53","183600","100","20230214","2175","20231031","1157"
"4182","三菱瓦斯化学","東証PR","化学","546248","217239199","3.18","80","10.93","0.79","230.12","3186.41","251450","100","20240219","2662","20230116","1766"
"4183","三井化学","東証PR","化学","858406","200843815","3.28","140","16.25","0.99","263","4335.97","427400","100","20240123","4497","20230116","2867"
"4185","JSR","東証PR","化学","844228","208400000","0","0","98.93","2.29","40.95","1769.61","405100","100","20230627","4322","20230104","2533"
"4186","東京応化工業","東証PR","化学","601810","127800000","1.23","58","32.39","3.1","145.38","1516.99","470900","100","20240301","4720","20230104","1923"
"4187","大阪有機化学工業","東証PR","化学","75074","22410038","1.73","58","26.39","1.66","126.95","2021.12","335000","100","20240301","3360","20230104","1860"
"4188","三菱ケミカルグループ","東証PR","化学","1295408","1506288107","3.72","32","9.06","0.72","94.91","1196.59","86000","100","20230925","987","20230104","670"
"4189","KHネオケム","東証PR","化学","83809","37149400","3.99","90","9.95","1.31","226.76","1720.81","225600","100","20230124","2803","20231004","2140"
