"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"5563","新日本電工","東証PR","鉄鋼","38558","137217772","2.49","7","12.9","0.57","21.78","489.48","28100","100","20230127","394","20230817","259"
"5570","ジェノバ","東証GR","情報通信","11563","14205000","0.37","3","25.49","3.72","31.93","218.8","81400","100","20230419","2300","20231024","760"
"5571","エキサイトホールディングス","東証ST","情報通信","4721","4932950","0","0","9.88","1.44","96.9","665.77","95700","100","20230420","1949","20230814","888"
"5572","Ridge-i","東証GR","情報通信","5953","3794130","0","0","83.86","2.99","18.71","524.36","156900","100","20230427","4620","20231023","1451"
"5574","ABEJA","東証GR","情報通信","41821","8622900","0","0","107.49","12","45.12","404.28","485000","100","20230622","10300","20230817","4190"
"5575","Globee","東証GR","情報通信","7745","4996800","0","0","36.94","17.52","41.96","88.46","155000","100","20230622","4495","20231024","1433"
"5576","オービーシステム","東証ST","情報通信","4793","2367000","3.46","70","10.77","1.11","188.06","1827.84","202500","100","20230622","4410","20230817","1755"
"5577","アイデミー","東証GR","情報通信","6769","3967600","0","0","37.5","6.68","45.49","255.57","170600","100","20230623","5760","20231016","1530"
"5578","ARアドバンストテクノロジ","東証GR","情報通信","6379","3273000","0","0","17.62","3.65","110.6","534.29","194900","100","20230628","4990","20231024","1816"
"5580","プロディライト","東証GR","情報通信","2097","1632850","0","0","16.51","3.21","77.78","399.76","128400","100","20230628","3285","20231023","1200"
"5582","グリッド","東証GR","情報通信","14755","4684200","0","0","40.33","9.83","78.11","320.34","315000","100","20230710","6400","20231020","2944"
"5585","エコナビスタ","東証GR","情報通信","15217","6091630","0","0","46.14","5.78","54.14","432.43","249800","100","20230801","3725","20230912","2032"
"5586","Laboro.AI","東証GR","情報通信","13034","15837628","0","0","104.44","9.04","7.88","90.99","82300","100","20230801","1545","20231019","659"
"5587","インバウンドプラットフォーム","東証GR","情報通信","5642","3382400","0","0","27.93","9.61","59.72","173.55","166800","100","20230830","2980","20231016","1541"
"5588","ファーストアカウンティング","東証GR","情報通信","7463","5218600","0","0","68.45","34.07","20.89","41.97","143000","100","20230922","2554","20231024","1371"
"5589","オートサーバー","東証ST","情報通信","10479","6800000","3.57","55","9.39","1.16","164.12","1330.29","154100","100","20230926","2280","20231024","1478"
"5590","ネットスターズ","東証GR","情報通信","13475","16676800","0","0","-","2.13","-39.7","379.75","80800","100","20230926","1345","20231024","736"
"5591","AVILEN","東証GR","情報通信","12215","6050000","0","0","83.09","49.05","24.3","41.16","201900","100","20230927","2553","20231020","1842"
"5592","くすりの窓口","東証GR","情報通信","16854","10980000","0","0","22.44","5.63","68.4","272.77","153500","100","20231006","1996","20231016","1382"
"5602","栗本鐵工所","東証PR","鉄鋼","35836","12798490","3.21","90","8.55","0.46","327.6","6046.73","280000","100","20230828","3035","20230106","1690"
"5603","虹技","東証ST","鉄鋼","4768","3362163","3.53","50","8.59","0.38","165.14","3773.97","141800","100","20230915","1633","20230116","881"
"5609","日本鋳造","東証ST","鉄鋼","5033","4825050","2.88","30","7.74","0.44","134.82","2364.54","104300","100","20230925","1089","20230113","815"
"5610","大和重工","東証ST","鉄鋼","1423","1358000","-","-","15.33","0.48","68.36","2176.32","104800","100","20230831","2010","20230130","763"
"5612","日本鋳鉄管","東証ST","鉄鋼","3428","3293074","2.11","22","13.94","0.4","74.69","2588.67","104100","100","20230911","1274","20230111","933"
"5631","日本製鋼所","東証PR","機械","186707","74399910","2.31","58","13.19","1.15","190.26","2172.86","250950","100","20230622","3178","20230320","2322"
"5632","三菱製鋼","東証PR","鉄鋼","21727","15709968","4.34","60","7.08","0.51","195.37","2706.08","138300","100","20230801","1799","20230105","959"
"5644","メタルアート","東証ST","鉄鋼","11430","3157382","2.49","90","5.89","0.51","614.09","7038.67","362000","100","20230919","4175","20230111","2156"
"5658","日亜鋼業","東証ST","鉄鋼","14906","51755478","3.47","10","10.97","0.29","26.26","1010.14","28800","100","20230509","337","20230105","242"
"5659","日本精線","東証PR","鉄鋼","29952","6253038","4.38","210","11.04","0.79","433.73","6082.24","479000","100","20230925","5040","20230105","4150"
"5660","神鋼鋼線工業","東証ST","鉄鋼","5966","5912999","1.49","15","21.3","0.27","47.37","3675.57","100900","100","20230308","1133","20230113","900"
