"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"7086","479500","-7400","5100","5100","94.02"
"7087","193000","600","400","-","482.5"
"7088","127500","-12600","300","-","425"
"7089","153500","-2200","-","-","-"
"7090","8300","-","-","-","-"
"7091","70800","1800","-","-","-"
"7092","321800","5700","64000","29200","5.03"
"7093","100200","-700","-","-","-"
"7094","533900","30200","64200","1800","8.32"
"7095","127700","-6200","300","-200","425.67"
"7096","68400","300","-","-","-"
"7097","173400","-2700","-","-","-"
"7102","33000","100","2100","500","15.71"
"7105","180700","-22200","54600","1100","3.31"
"7110","303600","-10800","-","-","-"
"7111","3206100","5500","-","-","-"
"7112","171200","12400","-","-","-"
"7114","114700","1600","-","-","-"
"7115","397900","-3100","-","-","-"
"7116","301800","-17200","-","-","-"
"7119","1082400","-186500","100","-3000","10824"
"7120","383000","-35800","400","300","957.5"
"7122","580800","1100","12000","2200","48.4"
"7126","73300","-4200","-","-","-"
"7127","93000","-6900","7500","100","12.4"
"7128","27100","2000","182800","100","0.15"
"7129","35000","300","-","-","-"
"7130","132000","-4400","8000","2500","16.5"
"7131","91600","2000","-","-","-"
"7133","61700","100","-","-","-"
"7134","167500","-4000","-","-","-"
"7135","83400","-2800","85100","-15400","0.98"
"7138","115000","9700","-","-","-"
"7140","270400","10500","-","-","-"
"7148","3027600","208800","114900","-11900","26.35"
"7150","67900","-5500","65400","-2000","1.04"
"7157","2236600","-16600","223800","7200","9.99"
"7161","178600","-20500","18600","-","9.6"
"7162","408200","-1800","-","-","-"
"7163","8892400","556000","100","-1900","88924"
"7164","66000","11000","72000","-400","0.92"
"7167","1810500","-44100","2043600","4500","0.89"
"7172","317700","-11300","14300","4100","22.22"
"7173","300600","1000","33600","700","8.95"
"7175","69800","5000","-","-","-"
"7177","1400600","-70500","13900","5100","100.76"
"7180","8741700","167000","193700","5800","45.13"
"7181","1180900","-29100","130500","18000","9.05"
"7182","4531600","-85200","1447600","688800","3.13"
"7183","247800","2500","24400","2100","10.16"
"7184","1689100","-48000","1256600","-99100","1.34"
"7185","75800","-4700","-","-","-"
"7186","2809400","-60800","637800","-12400","4.4"
"7187","659500","13800","118500","-4600","5.57"
"7189","2327200","59000","653400","-3700","3.56"
"7191","329000","6100","14200","-900","23.17"
"7192","151400","4800","11800","1700","12.83"
"7196","185900","-2700","1100","-100","169"
"7198","373600","-11100","16000","-","23.35"
"7199","477700","-700","10200","1200","46.83"
"7201","26150600","714600","2915300","39900","8.97"
"7202","2355600","-22400","90100","9700","26.14"
"7203","20855600","1749800","1288800","-18800","16.18"
"7205","3666700","-277100","236200","-71600","15.52"
"7208","8400","300","-","-","-"
"7211","22026800","-3400","4994700","191400","4.41"
"7212","699600","-18300","10400","-400","67.27"
"7213","29000","4300","4000","-500","7.25"
"7214","231200","-6000","6200","-4900","37.29"
"7215","91500","100","-","-","-"
"7217","115600","-100","-","-","-"
"7218","19400","700","-","-","-"
"7219","4400","-300","-","-","-"
"7220","43300","3800","156100","4400","0.28"
"7222","733000","-1800","345900","11400","2.12"
"7224","137300","-6400","41900","400","3.28"
"7226","42400","1600","27300","600","1.55"
"7228","40500","-400","-","-","-"
"7229","138100","-1500","-","-","-"
"7231","84800","3200","16300","-3700","5.2"
"7235","511600","-3400","-","-","-"
"7236","158800","-14700","4900","3700","32.41"
"7238","3661100","-100900","34300","-12600","106.74"
"7239","239300","5400","36000","-1700","6.65"
"7240","80600","-6000","150600","4100","0.54"
"7241","911800","13200","4300","-500","212.05"
"7242","155600","1500","54900","9900","2.83"
"7244","205400","-19300","117400","16400","1.75"
"7245","148200","-7200","68100","4800","2.18"
"7246","934400","-53100","71600","4900","13.05"
"7247","727200","-36100","600","-","1212"
"7250","89800","3100","54400","-","1.65"
"7254","508700","-11400","-","-","-"
"7255","22000","700","-","-","-"
"7256","1994700","-47700","492500","14500","4.05"
"7259","358300","-8000","195700","17600","1.83"
"7261","5126400","61800","813100","82000","6.3"
"7264","37200","1300","-","-","-"
"7265","17200","-300","-","-","-"
"7266","314300","3200","21000","-1900","14.97"
"7267","1067800","51800","395900","82600","2.7"
"7268","131300","-1800","-","-","-"
"7269","539500","37400","73700","-5500","7.32"
"7270","2001700","66000","281400","40700","7.11"
"7271","570200","35900","300","-2100","1900.67"
"7272","463500","4700","171600","3700","2.7"
"7273","88500","-800","-","-","-"
"7276","75000","2500","150100","-13200","0.5"
"7277","588500","-11800","13400","-500","43.92"
"7278","33500","-2600","10600","-1400","3.16"
"7279","211200","-9400","1300","-700","162.46"
"7280","431200","-76000","100000","29800","4.31"
"7282","102200","-2200","42400","-7300","2.41"
"7283","298700","18900","18600","400","16.06"
"7284","88700","-5200","-","-","-"
"7287","428900","-3500","1200","-","357.42"
"7291","502900","-1300","6600","200","76.2"
"7292","554400","500","-","-","-"
"7294","155000","-13100","15500","-100","10"
"7296","49700","-4800","15700","1000","3.17"
"7297","19900","-900","-","-","-"
"7298","976500","-29800","47400","-4700","20.6"
"7299","60000","16000","-","-","-"
"7305","275300","-9200","24400","-2800","11.28"
"7309","50900","-15800","38600","8500","1.32"
"7313","38200","-600","9500","1400","4.02"
"7314","16800","-2700","-","-","-"
"7315","446000","48800","-","-","-"
"7317","113800","3400","-","-","-"
"7318","246000","5600","-","-","-"
"7320","257800","-11700","-","-","-"
"7322","121500","1600","3600","200","33.75"
"7325","91700","-300","-","-","-"
"7326","447000","1800","-","-","-"
"7327","79000","1100","17600","-2300","4.49"
"7337","673500","-35400","96800","3600","6.96"
"7338","63600","-1800","600","-","106"
"7342","3008500","-88700","1766200","16700","1.7"
"7343","85200","-5800","-","-","-"
"7345","123100","-2800","-","-","-"
"7347","461000","28500","4800","1500","96.04"
"7350","53400","-1300","10000","-300","5.34"
"7351","287900","3300","23500","2500","12.25"
"7352","356300","500","-","-","-"
"7353","336100","5200","-","-","-"
"7354","60000","-","5900","-200","10.17"
"7356","1005300","-57500","206600","-14300","4.87"
"7357","125400","53300","25100","25100","5"
"7358","71100","500","200","-","355.5"
"7359","646400","41100","400","-700","1616"
"7360","47700","-200","-","-","-"
"7361","146700","-2400","-","-","-"
"7362","35800","-300","-","-","-"
"7363","46200","1000","-","-","-"
"7366","102200","-4600","15800","-1200","6.47"
"7367","372900","6900","-","-","-"
"7368","51900","-500","100","-","519"
"7369","38600","2000","-","-","-"
"7370","796300","-115100","800","800","995.38"
"7371","624900","1200","3500","-900","178.54"
"7372","341800","-4500","-","-","-"
"7373","505600","156300","1000","-","505.6"
"7374","181400","5900","-","-","-"
"7375","190600","-7700","-","-","-"
"7376","189500","-8000","-","-","-"
"7377","265700","-1400","-","-","-"
"7378","408900","-800","-","-","-"
"7379","242300","51000","-","-","-"
"7380","93600","-7200","89100","100","1.05"
"7381","37200","-10300","65000","13200","0.57"
"7383","661900","18800","50300","-700","13.16"
"7384","20700","-1300","104700","-200","0.2"
"7386","84500","-8300","-","-","-"
"7388","130000","34100","7400","5800","17.57"
"7389","220000","31100","232000","-1200","0.95"
"7399","138600","-300","-","-","-"
"7408","456200","37600","30700","-3400","14.86"
"7412","81600","21500","369200","12600","0.22"
"7413","15100","-100","-","-","-"
"7414","331100","-3400","1500","-","220.73"
"7416","37900","-400","124900","-1500","0.3"
"7417","36800","-100","1600","-13800","23"
"7419","1288300","3300","10400","1000","123.88"
"7420","452500","291400","17700","-900","25.56"
"7421","24300","-1600","454400","3300","0.05"
"7422","7300","-900","-","-","-"
"7425","45600","-900","-","-","-"
"7426","15200","-200","-","-","-"
"7427","164900","-16500","14800","-15800","11.14"
"7433","390500","700","93700","5300","4.17"
"7434","5200","-1400","-","-","-"
"7435","111300","-3300","-","-","-"
"7438","33300","300","1500","1000","22.2"
"7442","40600","800","1300","-1100","31.23"
"7443","4400","200","3700","-400","1.19"
"7444","23200","300","-","-","-"
"7445","68300","3600","109700","2600","0.62"
"7446","1100","100","-","-","-"
"7447","47100","-1600","11300","-100","4.17"
"7450","8900","800","-","-","-"
"7451","51600","-5600","5000","-2000","10.32"
"7453","1731700","-327900","306200","58800","5.66"
"7455","85900","-1700","16000","-15500","5.37"
"7456","174000","7300","2500","-600","69.6"
"7458","32500","-28900","20100","-100","1.62"
"7459","23000","500","16700","2800","1.38"
"7460","364200","400","-","-","-"
"7461","27900","-600","-","-","-"
"7462","56700","-100","-","-","-"
"7463","56200","-300","28800","7900","1.95"
"7464","4200","1000","-","-","-"
"7466","21800","-8000","1000","600","21.8"
"7467","274500","-14100","4400","-5400","62.39"
"7472","17000","300","100","-","170"
"7475","5200","-100","9600","-100","0.54"
"7476","20400","-2000","11000","1500","1.85"
"7477","267600","-","-","-","-"
"7480","29600","-2900","2700","-1600","10.96"
"7481","38100","1500","900","-1500","42.33"
"7482","26200","-3500","8200","-1100","3.2"
"7483","116000","3400","6600","900","17.58"
"7486","900","-100","-","-","-"
"7487","42000","6100","63800","5100","0.66"
"7490","5200","600","-","-","-"
"7494","96200","4900","18900","400","5.09"
"7500","200","-100","-","-","-"
"7501","428800","9200","-","-","-"
"7502","4900","-","-","-","-"
"7504","5600","100","5800","-1000","0.97"
"7505","6300","900","-","-","-"
"7506","3600","1700","1700","-100","2.12"
"7508","77800","400","1500","-2400","51.87"
"7509","48600","-100","-","-","-"
"7510","8900","-1100","2300","-600","3.87"
"7512","1030700","-137900","37800","1200","27.27"
"7513","240200","-38600","30700","-3600","7.82"
"7514","25400","3700","1800","-","14.11"
"7515","-","-100","-","-","-"
"7516","262000","6400","31000","19300","8.45"
"7518","181600","-13600","18600","-300","9.76"
"7520","33100","9400","600","-","55.17"
"7521","71100","16100","-","-","-"
"7522","85900","-2800","170200","7000","0.5"
"7523","280700","-700","14500","-","19.36"
"7524","40700","4800","54600","-","0.75"
"7525","21700","500","1800","300","12.06"
"7527","5338500","-94200","100","-100","53385"
"7531","5300","-","-","-","-"
"7532","645600","-10000","98700","2400","6.54"
"7537","443900","-26900","74400","-7400","5.97"
"7538","22900","-500","-","-","-"
"7539","131300","3300","1300","-100","101"
"7544","74800","14600","4100","4100","18.24"
"7545","540000","18200","173200","-52200","3.12"
"7550","55000","2700","458000","80000","0.12"
"7551","196300","-3300","2800","-100","70.11"
"7552","221700","-6100","16100","300","13.77"
"7554","74500","-2700","62700","-9600","1.19"
"7555","2200","-300","-","-","-"
"7559","8400","-700","-","-","-"
"7561","625100","-1500","33700","-29400","18.55"
"7562","2300","100","-","-","-"
"7564","311000","-49200","139200","13600","2.23"
"7565","8300","100","-","-","-"
"7567","217600","5400","-","-","-"
"7570","19500","1000","400","-900","48.75"
"7571","745000","-3600","18000","-1200","41.39"
"7575","284600","-29700","9700","-700","29.34"
"7578","505900","13600","-","-","-"
"7581","93200","35900","170200","12300","0.55"
"7585","26300","-300","-","-","-"
"7590","146300","-7300","7200","1600","20.32"
