"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"9888","239200","-29200","-","-","-"
"9889","103500","27000","5400","-1500","19.17"
"9890","145200","-3300","-","-","-"
"9895","8700","100","-","-","-"
"9896","154900","1300","5000","1300","30.98"
"9900","77500","32100","879500","-1300","0.09"
"9902","16200","2700","8900","800","1.82"
"9903","8000","-500","3400","700","2.35"
"9904","103800","2000","-","-","-"
"9906","56100","-1100","-","-","-"
"9908","71100","-5300","-","-","-"
"9913","134900","-500","16400","200","8.23"
"9914","115700","1100","-","-","-"
"9919","12200","-1800","100","-","122"
"9927","581200","1500","-","-","-"
"9928","118800","1500","42300","-8300","2.81"
"9929","18100","-700","-","-","-"
"9930","1292100","34200","134000","-5600","9.64"
"9932","30700","-7000","1800","100","17.06"
"9934","9200","-1100","1600","100","5.75"
"9936","17800","-500","16700","-900","1.07"
"9941","64100","-500","-","-","-"
"9946","35500","3300","790300","69400","0.04"
"9948","21200","-13300","2103400","555700","0.01"
"9950","5400","-300","-","-","-"
"9955","8700","500","-","-","-"
"9956","42500","1400","11200","300","3.79"
"9959","62100","45300","91900","91700","0.68"
"9960","33500","-3000","6700","100","5"
"9962","326900","118100","44300","-10600","7.38"
"9969","294400","18800","25300","-500","11.64"
"9972","1362000","46300","10100","1700","134.85"
"9973","11620700","-349300","-","-","-"
"9974","35200","6100","141800","114700","0.25"
"9976","4000","-500","-","-","-"
"9977","900","300","-","-","-"
"9978","1120600","-4700","-","-","-"
"9979","51100","10900","201700","63000","0.25"
"9980","867900","24500","20300","-1000","42.75"
"9982","68000","-9500","-","-","-"
"9983","137600","-12700","1678200","-3000","0.08"
"9984","8693900","-919500","3015900","398300","2.88"
"9986","7300","800","-","-","-"
"9987","13200","-1700","17500","-1300","0.75"
"9989","26000","3500","37500","500","0.69"
"9990","235300","-9300","68000","9600","3.46"
"9991","108500","-700","4500","1100","24.11"
"9993","8700","-2000","100","-100","87"
"9994","9100","1800","4400","500","2.07"
"9995","70300","44700","-","-","-"
"9996","16300","4200","400","-1000","40.75"
"9997","1755500","58200","27000","900","65.02"
