"SC","è„èÍîNåé"
"3823","200610"
"3825","200612"
"3826","200612"
"3834","200612"
"3835","200612"
"3836","200702"
"3837","200702"
"3839","200703"
"3840","200703"
"3841","200703"
"3842","200703"
"3843","200703"
"3844","200703"
"3845","200703"
"3847","200704"
"3848","200704"
"3850","200706"
"3851","200706"
"3852","200706"
"3853","200706"
"3854","200706"
"3856","200709"
"3857","200710"
"3858","200711"
"3861","194912"
"3863","201304"
"3864","194905"
"3865","194905"
"3877","195601"
"3878","196108"
"3880","197901"
"3891","199602"
"3892","200012"
"3895","200502"
"3896","201210"
"3900","201412"
"3901","201412"
"3902","201412"
"3903","201412"
"3904","201412"
"3905","201412"
"3907","201502"
"3908","201503"
"3909","201503"
"3910","201503"
"3911","201503"
"3912","201503"
"3913","201503"
"3914","201504"
"3915","201504"
"3916","201506"
"3917","201507"
"3918","201508"
"3920","201509"
"3921","201511"
"3922","201603"
"3923","201512"
"3924","201512"
"3925","201512"
"3926","201512"
"3927","201512"
"3928","201512"
"3929","201512"
"3930","201602"
"3931","201603"
"3932","201603"
"3933","201603"
"3934","201603"
"3935","201604"
"3936","201604"
"3937","201606"
"3939","201609"
"3940","201609"
"3941","194905"
"3943","198005"
"3944","196209"
"3945","196405"
"3946","197404"
"3947","197607"
"3948","198808"
"3950","199109"
"3951","199308"
"3953","199502"
"3954","199904"
"3955","200007"
"3958","202309"
"3961","201609"
"3962","201609"
"3963","201609"
"3964","201703"
"3965","201610"
"3967","201611"
"3968","201612"
"3969","201612"
"3970","201612"
"3974","201612"
"3976","201701"
"3978","201703"
"3979","201703"
"3981","201703"
"3983","201703"
"3984","201703"
"3985","201704"
"3986","201706"
"3987","201706"
"3988","201706"
"3989","201708"
"3990","201708"
"3991","201709"
"3992","201709"
"3993","201709"
"3994","201709"
"3995","201710"
"3996","201711"
"3997","201711"
"3998","201712"
"4004","194905"
"4005","194905"
"4008","195207"
"4011","202009"
"4012","202009"
"4013","202010"
"4014","202010"
"4015","202011"
"4016","202011"
"4017","202011"
"4019","202012"
"4020","202012"
"4021","194905"
"4022","194905"
"4023","194905"
"4025","194905"
"4026","198902"
"4027","194905"
"4028","194907"
"4031","196110"
"4040","202304"
"4041","194905"
"4042","194905"
"4043","194905"
"4044","194905"
"4045","194905"
"4046","194905"
"4047","196110"
"4051","202007"
"4052","202006"
"4053","202007"
"4054","202007"
"4055","202008"
"4056","202008"
"4057","202008"
"4058","202009"
"4059","202009"
"4060","202009"
"4061","194905"
"4062","194905"
"4063","194905"
"4064","194905"
"4068","202106"
"4069","202106"
"4071","202106"
"4072","202107"
"4073","202109"
"4074","202107"
"4075","202107"
"4076","202108"
"4078","195003"
"4080","200002"
"4082","200412"
"4088","195004"
"4091","194905"
"4092","194905"
"4093","196110"
"4094","196110"
"4095","196110"
"4097","196207"
"4098","196210"
"4099","196210"
"4100","196302"
"4102","196401"
"4107","199010"
"4109","199910"
"4112","194905"
"4113","194912"
"4114","195205"
"4116","196110"
"4118","194910"
"4119","196110"
"4120","196302"
"4124","201710"
"4125","202112"
"4151","194908"
"4165","202012"
"4166","202012"
"4167","202012"
"4168","202012"
"4169","202012"
"4170","202012"
"4171","202012"
"4172","202012"
"4173","202102"
"4174","202102"
"4175","202102"
"4176","202103"
"4177","202103"
"4178","202103"
"4179","202103"
"4180","202103"
"4182","195402"
"4183","196210"
"4185","197010"
"4186","198607"
"4187","198707"
"4188","200510"
"4189","201610"
"4192","202103"
"4193","202104"
"4194","202104"
"4196","202104"
"4197","202312"
"4198","202106"
"4199","202106"
