id,sec-code,filer-name,description
S100C3MV,,マックスバリュ九州株式会社,四半期報告書－第16期第3四半期(2017/09/01－2017/11/30)
S100C3DU,29180,わらべや日洋ホールディングス株式会社,四半期報告書－第54期第3四半期(2017/09/01－2017/11/30)
S100C2X2,13760,カネコ種苗株式会社,四半期報告書－第71期第2四半期(2017/09/01－2017/11/30)
S100C336,36700,協立情報通信株式会社,四半期報告書－第53期第3四半期(2017/09/01－2017/11/30)
S100C349,74470,ナガイレーベン株式会社,四半期報告書－第69期第1四半期(2017/09/01－2017/11/30)
S100C3HR,37600,株式会社ケイブ,四半期報告書－第24期第2四半期(2017/09/01－2017/11/30)
S100C3L9,36080,株式会社ＴＳＩホールディングス,四半期報告書－第7期第3四半期(2017/09/01－2017/11/30)
S100C323,61830,株式会社ベルシステム２４ホールディングス,四半期報告書－第4期第3四半期(2017/09/01－2017/11/30)
S100C3FT,82030,株式会社ミスターマックス・ホールディングス,四半期報告書－第69期第3四半期(2017/09/01－2017/11/30)
S100C396,65520,株式会社ＧａｍｅＷｉｔｈ,四半期報告書－第5期第2四半期(2017/09/01－2017/11/30)
S100C3S2,39900,ＵＵＵＭ株式会社,四半期報告書－第5期第2四半期(2017/09/01－2017/11/30)
S100C3CJ,79210,株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,四半期報告書－第81期第2四半期(2017/09/01－2017/11/30)
S100C3MK,39350,株式会社エディア,四半期報告書－第19期第3四半期(2017/09/01－2017/11/30)
S100C3EK,35430,株式会社コメダホールディングス,四半期報告書－第4期第3四半期(2017/09/01－2017/11/30)
S100C3OM,39220,株式会社ＰＲ　ＴＩＭＥＳ,四半期報告書－第13期第3四半期(2017/09/01－2017/11/30)
S100C38W,30450,株式会社カワサキ,四半期報告書－第47期第1四半期(2017/09/01－2017/11/30)
S100C3HK,59320,三協立山株式会社,四半期報告書－第73期第2四半期(2017/09/01－2017/11/30)
S100C3KU,97650,株式会社オオバ,四半期報告書－第84期第2四半期(2017/09/01－2017/11/30)
S100C3LA,82890,株式会社Ｏｌｙｍｐｉｃグループ,四半期報告書－第46期第3四半期(2017/09/01－2017/11/30)
S100C3R0,31480,株式会社クリエイトＳＤホールディングス,四半期報告書－第21期第2四半期(2017/09/01－2017/11/30)
S100C3AE,,マックスバリュ中部株式会社,四半期報告書－第45期第3四半期(2017/09/01－2017/11/30)
S100C3VN,65050,東洋電機製造株式会社,四半期報告書－第157期第2四半期(2017/09/01－2017/11/30)
S100C3P4,97930,株式会社ダイセキ,四半期報告書－第60期第3四半期(2017/09/01－2017/11/30)
S100C3XO,52710,株式会社トーヨーアサノ,四半期報告書－第75期第3四半期(2017/09/01－2017/11/30)
S100C35G,30650,株式会社ライフフーズ,四半期報告書－第32期第3四半期(2017/09/01－2017/11/30)
S100C3IC,29270,株式会社ＡＦＣ－ＨＤアムスライフサイエンス,四半期報告書－第38期第1四半期(2017/09/01－2017/11/30)
S100C3T3,81250,株式会社ワキタ,四半期報告書－第58期第3四半期(2017/09/01－2017/11/30)
S100C3RD,38920,株式会社岡山製紙,四半期報告書－第177期第2四半期(2017/09/01－2017/11/30)
S100C3KS,,株式会社シベール,四半期報告書－第48期第1四半期(2017/09/01－2017/11/30)
S100C3T1,36470,株式会社ジー・スリーホールディングス,四半期報告書－第8期第1四半期(2017/09/01－2017/11/30)
S100C3BP,33840,株式会社アークコア,四半期報告書－第15期第3四半期(2017/09/01－2017/11/30)
S100C373,97780,株式会社昴,四半期報告書－第60期第3四半期(2017/09/01－2017/11/30)
S100C3QI,22920,エスフーズ株式会社,四半期報告書－第52期第3四半期(2017/09/01－2017/11/30)
S100C3P1,27260,株式会社パルグループホールディングス,四半期報告書－第46期第3四半期(2017/09/01－2017/11/30)
S100C1YS,78880,三光合成株式会社,四半期報告書－第85期第2四半期(2017/09/01－2017/11/30)
S100C3HC,75200,株式会社エコス,四半期報告書－第53期第3四半期(2017/09/01－2017/11/30)
S100C3NR,27920,株式会社ハニーズホールディングス,四半期報告書－第40期第2四半期(2017/09/01－2017/11/30)
S100C3Y5,32800,株式会社エストラスト,四半期報告書－第20期第3四半期(2017/09/01－2017/11/30)
S100C3KE,19970,暁飯島工業株式会社,四半期報告書－第65期第1四半期(2017/09/01－2017/11/30)
S100C3M2,23410,株式会社アルバイトタイムス,四半期報告書－第45期第3四半期(2017/09/01－2017/11/30)
S100C3OG,75120,イオン北海道株式会社,四半期報告書－第40期第3四半期(2017/09/01－2017/11/30)
S100C3YA,43430,株式会社イオンファンタジー,四半期報告書－第22期第3四半期(2017/09/01－2017/11/30)
S100C36Q,23030,株式会社ドーン,四半期報告書－第27期第2四半期(2017/09/01－2017/11/30)
S100C3LN,48340,キャリアバンク株式会社,四半期報告書－第31期第2四半期(2017/09/01－2017/11/30)
S100C2AE,88870,リベレステ株式会社,四半期報告書－第40期第2四半期(2017/09/01－2017/11/30)
S100C3KO,46680,株式会社明光ネットワークジャパン,四半期報告書－第34期第1四半期(2017/09/01－2017/11/30)
S100C3XJ,82000,株式会社リンガーハット,四半期報告書－第54期第3四半期(2017/09/01－2017/11/30)
S100C3MB,61730,株式会社アクアライン,四半期報告書－第23期第3四半期(2017/09/01－2017/11/30)
